Logging to Codes/train/MNISTFLlogs\1113PPGC_outbits1.log
[2024-11-13 18:28:30] Round 1/10 started
[2024-11-13 18:28:30] Training client 1
[2024-11-13 18:28:30] Training step 1
[2024-11-13 18:28:44] Training step 2
[2024-11-13 18:28:56] Training step 3
[2024-11-13 18:29:08] Training step 4
[2024-11-13 18:29:20] Training step 5
[2024-11-13 18:29:32] Training step 6
[2024-11-13 18:29:44] Training step 7
[2024-11-13 18:29:56] Training step 8
[2024-11-13 18:30:08] Training step 9
[2024-11-13 18:30:20] Training step 10
[2024-11-13 18:30:32] Training step 11
[2024-11-13 18:30:44] Training step 12
[2024-11-13 18:30:55] Training step 13
[2024-11-13 18:31:07] Training step 14
[2024-11-13 18:31:19] Training step 15
[2024-11-13 18:31:31] Training step 16
[2024-11-13 18:31:42] Training step 17
[2024-11-13 18:31:54] Training step 18
[2024-11-13 18:32:06] Training step 19
[2024-11-13 18:32:17] Training step 20
[2024-11-13 18:32:29] Training step 21
[2024-11-13 18:32:41] Training step 22
[2024-11-13 18:32:53] Training step 23
[2024-11-13 18:33:05] Training step 24
[2024-11-13 18:33:16] Training step 25
[2024-11-13 18:33:28] Training step 26
[2024-11-13 18:33:40] Training step 27
[2024-11-13 18:33:52] Training step 28
[2024-11-13 18:34:04] Training step 29
[2024-11-13 18:34:15] Training step 30
[2024-11-13 18:34:27] Training step 31
[2024-11-13 18:34:39] Training step 32
[2024-11-13 18:34:51] Training step 33
[2024-11-13 18:35:03] Training step 34
[2024-11-13 18:35:14] Training step 35
[2024-11-13 18:35:26] Training step 36
[2024-11-13 18:35:38] Training step 37
[2024-11-13 18:35:50] Training step 38
[2024-11-13 18:36:02] Training step 39
[2024-11-13 18:36:14] Training step 40
[2024-11-13 18:36:26] Training step 41
[2024-11-13 18:36:37] Training step 42
[2024-11-13 18:36:49] Training step 43
[2024-11-13 18:37:01] Training step 44
[2024-11-13 18:37:12] Training step 45
[2024-11-13 18:37:24] Training step 46
[2024-11-13 18:37:36] Training step 47
[2024-11-13 18:37:47] Training step 48
[2024-11-13 18:37:59] Training step 49
[2024-11-13 18:38:10] Training step 50
[2024-11-13 18:38:22] Training step 51
[2024-11-13 18:38:33] Training step 52
[2024-11-13 18:38:45] Training step 53
[2024-11-13 18:38:57] Training step 54
[2024-11-13 18:39:09] Training step 55
[2024-11-13 18:39:20] Training step 56
[2024-11-13 18:39:32] Training step 57
[2024-11-13 18:39:44] Training step 58
[2024-11-13 18:39:55] Training step 59
[2024-11-13 18:40:07] Training step 60
[2024-11-13 18:40:19] Training step 61
[2024-11-13 18:40:31] Training step 62
[2024-11-13 18:40:42] Training step 63
[2024-11-13 18:40:54] Training step 64
[2024-11-13 18:41:06] Training step 65
[2024-11-13 18:41:18] Training step 66
[2024-11-13 18:41:30] Training step 67
[2024-11-13 18:41:42] Training step 68
[2024-11-13 18:41:54] Training step 69
[2024-11-13 18:42:06] Training step 70
[2024-11-13 18:42:17] Training step 71
[2024-11-13 18:42:29] Training step 72
[2024-11-13 18:42:41] Training step 73
[2024-11-13 18:42:53] Training step 74
[2024-11-13 18:43:04] Training step 75
[2024-11-13 18:43:16] Training step 76
[2024-11-13 18:43:28] Training step 77
[2024-11-13 18:43:39] Training step 78
